"Code";"Libre";"Nom";"CP";"Com";"Ville";"Com";"Téléphone";"Com";"";"";"";""
"F00000000501";"AUDIO";"SUD";"34430";"SAINT";"JEAN";"DE";"VEDAS";"0467274305";"";"";"";""
"F00000000554";"AUDIO";"TECHNICA";"";"";"";"";"";"";"";"";"";""
"F0054";"AUDIO";"TECHNIQUE";"42152";"L'HORME";"0477814959";"";"";"";"";"";"";""
"F00000000466";"AUDIO2";"37300";"JOUE-LES-TOURS";"0247532280";"";"";"";"";"";"";"";""
"F00000000482";"AUDIOLUX";"26839";"ZELO";"BUON";"PERSICO";"00390290659652";"";"";"";"";"";""
"F0053";"AUDIOPOLE";"77771";"MARNE-LA";"VALLEE";"CEDEX";"4";"0160543200";"";"";"";"";""
"F0056";"AUX";"ARTS";"GRAPHIQUES";"";"";"";"";"";"";"";"";""
"F00000000508";"AVAB";"93200";"SAINT-DENIS";"0142433535";"";"";"";"";"";"";"";""
"F0057";"AVID";"";"";"";"";"";"";"";"";"";"";""
"F0058";"AVIS";"42100";"SAINT-ETIENNE";"04";"77";"79";"99";"27";"";"";"";""
"F0059";"AXA";"ASSURANCE";"";"";"";"";"";"";"";"";"";""
"F00000000452";"AXENTE";"91160";"LONGJUMEAU";"0169105070";"";"";"";"";"";"";"";""
"F00000000521";"AZ";"LOCATION";"";"";"";"";"";"";"";"";"";""
"F0060";"AZUR";"SCENIQUE";"06640";"ST";"JEANNET";"04";"92";"12";"04";"00";"";""
"F0063";"B.B.A";"emballages";"42016";"Saint";"Etienne";"0477421212";"";"";"";"";"";""
"F0431";"BACKLINE&PIANOS";"69008";"Lyon";"0437902528";"";"";"";"";"";"";"";""
"F0061";"BATILO";"";"";"";"";"";"";"";"";"";"";""
"F0062";"BATIM";"ALU";"";"";"";"";"";"";"";"";"";""
"F0064";"BDLJ";"";"";"";"";"";"";"";"";"";"";""
"F0065";"BEAL";"PEINTURE";"42100";"Saint";"Etienne";"0477815030";"";"";"";"";"";""
"F0066";"BEK";"";"";"";"";"";"";"";"";"";"";""
"F0067";"BERMUST";"";"";"";"";"";"";"";"";"";"";""
"F0068";"BERNARD";"TRUCKS";"";"";"";"";"";"";"";"";"";""
"F0069";"BERTOMEU";"LEVAGE";"42011";"SAINT-ETIENNE";"0477958282";"";"";"";"";"";"";""
"F00000000547";"BESS";"PRODUCTION";"";"";"";"";"";"";"";"";"";""
"F00000000001";"BEST";"AUDIO";"95947";"ROISSY";"CDG";"0134382534";"";"";"";"";"";""
"F0071";"BIMP";"";"";"";"";"";"";"";"";"";"";""
"F0072";"BM";"DISTRIBUTION";"";"";"";"";"";"";"";"";"";""
"F0073";"BM";"UNIFORME";"";"";"";"";"";"";"";"";"";""
"F00000000006";"BOGEN";"IMAGING";"28630";"NOGENT";"LE";"PHAYE";"02";"37";"31";"99";"13";""
"F0074";"BOGEN";"IMAGING";"";"";"";"";"";"";"";"";"";""
"F0075";"BONJOUR";"ANNONCES";"";"";"";"";"";"";"";"";"";""
"F0076";"BONNET";"CORDONNERIE";"";"";"";"";"";"";"";"";"";""
"F0077";"BOOST";"94200";"Ivry-sur-seine";"0158461515";"";"";"";"";"";"";"";""
"F0078";"BOSE";"FRANCE";"";"";"";"";"";"";"";"";"";""
"F0079";"BOULANGER";"";"";"";"";"";"";"";"";"";"";""
"F0080";"BOXER";"";"";"";"";"";"";"";"";"";"";""
"F0081";"BOYER";"CLEMENT";"PEGAND";"";"";"";"";"";"";"";"";""
"F0082";"BP";"FRANCE";"";"";"";"";"";"";"";"";"";""
"F0083";"BRICO";"BATI";"JARDI";"";"";"";"";"";"";"";"";""
"F0084";"BRICO";"DEPOT";"";"";"";"";"";"";"";"";"";""
"F0085";"BRICO";"MARCHÉ";"";"";"";"";"";"";"";"";"";""
"F0086";"BROSSAT";"COMMISSAIRE";"";"";"";"";"";"";"";"";"";""
"F0087";"BST";"";"";"";"";"";"";"";"";"";"";""
"F0088";"BUDGET";"42000";"SAINT-ETIENNE";"0477432643";"";"";"";"";"";"";"";""
"F0089";"BUT";"";"";"";"";"";"";"";"";"";"";""
"F00000000506";"CAE";"GROUP";"91320";"WISSOUS";"0478050576";"";"";"";"";"";"";""
"F0090";"CALBERSON";"";"";"";"";"";"";"";"";"";"";""
"F0091";"CANDEL";"";"";"";"";"";"";"";"";"";"";""
"F0093";"CAP";"42";"";"";"";"";"";"";"";"";"";""
"F0094";"CAP";"AUDIO";"77340";"PONTAULT-COMBAULT";"";"";"";"";"";"";"";""
"F0095";"CAPY";"";"";"";"";"";"";"";"";"";"";""
"F0097";"CAR";"GO";"";"";"";"";"";"";"";"";"";""
"F0096";"CARBOXYQUE";"";"";"";"";"";"";"";"";"";"";""
"F0098";"CARLIER";"IMBERT";"";"";"";"";"";"";"";"";"";""
"F0099";"CARREFOUR";"DES";"CE";"";"";"";"";"";"";"";"";""
"F0100";"CARREFOUR";"DU";"SON";"0477748874";"";"";"";"";"";"";"";""
"F00000000454";"CARROSSERIE";"DARAGON";"42000";"SAINT-ETIENNE";"04";"77";"48";"16";"76";"";"";""
"F0317";"CARROSSERIE";"PERRIER";"";"";"";"";"";"";"";"";"";""
"F0101";"CARROT";"";"";"";"";"";"";"";"";"";"";""
"F0102";"CARTONNAGE";"STEPHANOIS";"";"";"";"";"";"";"";"";"";""
