"Code";"Libre";"Nom";"CP";"Com";"Ville";"Com";"Téléphone";"Com";"";"";"";""
"F00000000477";"LOCATION";"BLOND";"";"";"";"";"";"";"";"";"";""
"F00000000475";"LOCATION";"GUILLEMIN";"03120";"LAPALISSE";"04";"70";"99";"03";"35";"";"";""
"F00000000457";"LOCMAT";"09";"82";"35";"13";"60";"";"";"";"";"";""
"F0250";"LOGIMARCHÉ";"";"";"";"";"";"";"";"";"";"";""
"F0251";"LOIRE";"AUTO";"LAVAGE";"";"";"";"";"";"";"";"";""
"F0252";"LOIRE";"MATERIAUX";"42290";"Sorbiers";"0477533838";"";"";"";"";"";"";""
"F00000000455";"LOXAM";"POWER";"LYON";"04";"72";"89";"78";"90";"";"";"";""
"F0253";"LOXAM";"RENTAL";"ROANNE";"04";"77";"67";"07";"33";"";"";"";""
"F0254";"LUCKY";"MOTO";"";"";"";"";"";"";"";"";"";""
"F0255";"LUNE";"ET";"L'AUTRE";"FRS";"";"";"";"";"";"";"";""
"F00000000443";"LUTIN";"SONO";"";"";"";"";"";"";"";"";"";""
"F0256";"LYNX";"";"";"";"";"";"";"";"";"";"";""
"F0257";"MACIF";"";"";"";"";"";"";"";"";"";"";""
"F0258";"MACIFILIA";"";"";"";"";"";"";"";"";"";"";""
"F0259";"MACKIE";"0670760836";"";"";"";"";"";"";"";"";"";""
"F0260";"MADIS";"";"";"";"";"";"";"";"";"";"";""
"F0261";"MAG";"COM";"";"";"";"";"";"";"";"";"";""
"F0262";"MAG";"DJ";"FRS";"";"";"";"";"";"";"";"";""
"F0263";"MAGELLAN";"International";"95322";"St-Leu-La-Forêt";"Cdx";"0130408283";"";"";"";"";"";""
"F0264";"MAIN";"DANS";"LA";"MAIN";"";"";"";"";"";"";"";""
"F00000000504";"MAJOR";"AUDIO";"93350";"LE";"BOURGET";"0148376501";"";"";"";"";"";""
"F0265";"MAJOR";"MUSIC";"2000";"";"";"";"";"";"";"";"";""
"F0266";"MANFROTTO";"";"";"";"";"";"";"";"";"";"";""
"F0267";"Manfrotto";"France";"94044";"CRETEIL";"";"";"";"";"";"";"";""
"F0268";"MANGANELLI";"";"";"";"";"";"";"";"";"";"";""
"F0269";"MARIO";"INTERNATIONAL";"";"";"";"";"";"";"";"";"";""
"F0270";"MARTEL";"";"";"";"";"";"";"";"";"";"";""
"F0271";"MARTIN";"FRANCE";"91601";"SAVIGNY";"SYR";"ORGE";"CEDEX";"0169918800";"";"";"";""
"F0272";"MATOS";"";"";"";"";"";"";"";"";"";"";""
"F0273";"MAXI";"MERCAT";"";"";"";"";"";"";"";"";"";""
"F0274";"MBM";"UNIVET";"";"";"";"";"";"";"";"";"";""
"F0275";"MEGA";"SECURITÉ";"";"";"";"";"";"";"";"";"";""
"F0276";"MEGAWATTS";"";"";"";"";"";"";"";"";"";"";""
"F0277";"MELI";"MELODY";"0556759357";"";"";"";"";"";"";"";"";""
"F0278";"MELISON";"";"";"";"";"";"";"";"";"";"";""
"F00000000536";"METIFIOT";"PNEUS";"047779060";"";"";"";"";"";"";"";"";""
"F0280";"MICHAEL";"PRODUCTION";"FRS";"";"";"";"";"";"";"";"";""
"F0281";"MICROCCASE";"75005";"PARIS";"0145871213";"";"";"";"";"";"";"";""
"F0282";"MIDANE";"";"";"";"";"";"";"";"";"";"";""
"F0283";"MIGALDINE";"";"";"";"";"";"";"";"";"";"";""
"F0284";"MISTER";"MINIT";"";"";"";"";"";"";"";"";"";""
"F00000000575";"MJ-GERÜST";"";"";"";"";"";"";"";"";"";"";""
"F0285";"MONDIAL";"MOQUETTE";"";"";"";"";"";"";"";"";"";""
"F0286";"MONITEURS";"DES";"VENTES";"";"";"";"";"";"";"";"";""
"F0287";"MOSA";"TRAITEUR";"";"";"";"";"";"";"";"";"";""
"F00000000568";"MOVING";"STAGE";"";"";"";"";"";"";"";"";"";""
"F00000000535";"MSC";"DISTRIBUTION";"0180383840";"";"";"";"";"";"";"";"";""
"F0288";"MTI";"";"";"";"";"";"";"";"";"";"";""
"F00000000550";"MUNCH";"";"";"";"";"";"";"";"";"";"";""
"F00000000445";"MUSIC";"PLUS";"";"";"";"";"";"";"";"";"";""
"F0290";"MUSIC";"PRODUCTION";"";"";"";"";"";"";"";"";"";""
"F0289";"MUSICALEMENT";"VOTRE";"";"";"";"";"";"";"";"";"";""
"F0291";"NAMYSL";"42041";"SAINT-ETIENNE";"CEDEX";"1";"04";"77";"33";"20";"21";"";""
"F00000000447";"NATIOINAL";"CITER";"42100";"ST";"ETIENNE";"04";"77";"47";"47";"47";"";""
"F0292";"NETWORKS";"SOLUTION";"";"";"";"";"";"";"";"";"";""
"F0293";"NEUF";"TELECOM";"";"";"";"";"";"";"";"";"";""
"F0294";"NEXO";"60128";"PLAILLY";"0344990070";"";"";"";"";"";"";"";""
"F0295";"NEYRIAL";"";"";"";"";"";"";"";"";"";"";""
"F0296";"NICE";"ACROPOLIS";"";"";"";"";"";"";"";"";"";""
"F0297";"NMA";"SONORISATION";"";"";"";"";"";"";"";"";"";""
"CodeLibre";"Nom";"CP";"Co";"VILLE";"Com";"";"";"";"";"";"";""
"F0298";"NORAUTO";"";"";"";"";"";"";"";"";"";"";""
"F0299";"NORISKO";"";"";"";"";"";"";"";"";"";"";""
"F0217";"NOVELTY";"91160";"LONGJUMEAU";"0146872858";"";"";"";"";"";"";"";""
"F0300";"NOVON";"60490";"MARGNY/MATZ";"03";"44";"42";"64";"06";"";"";"";""
"F0301";"OBI";"";"";"";"";"";"";"";"";"";"";""
"F0302";"ONDINE";"";"";"";"";"";"";"";"";"";"";""
"F00000000561";"OPTIMUM";"CHARIOTS";"TP";"42";"42000";"SAINT";"ETIENNE";"";"";"";"";""
"F0303";"ORANGE";"";"";"";"";"";"";"";"";"";"";""
"F00000000503";"ORAY";"91416";"DOURDAN";"0164599454";"";"";"";"";"";"";"";""
"F0304";"ORCAVOU";"";"";"";"";"";"";"";"";"";"";""
"F0305";"OREFI";"BOQUIN";"D'ARNE";"";"";"";"";"";"";"";"";""
"F00000000499";"OTTO";"91959";"VILLEBON";"CEDEX";"0825801515";"";"";"";"";"";"";""
"F0306";"OXYGEN";"SAV";"69007";"LYON";"0478629064";"";"";"";"";"";"";""
"F00000000442";"PAN";"POT";"";"";"";"";"";"";"";"";"";""
"F0307";"PANEI";"";"";"";"";"";"";"";"";"";"";""
"F0308";"PAR";"EXECELLENCE";"";"";"";"";"";"";"";"";"";""
"F0309";"PARIS";"SPECTACLES";"";"";"";"";"";"";"";"";"";""
"F0310";"PAUL";"42026";"SAINT-ETIENNE";"0477250297";"";"";"";"";"";"";"";""
"F0311";"PAYANT";"";"";"";"";"";"";"";"";"";"";""
"F0312";"PBONHOM";"";"";"";"";"";"";"";"";"";"";""
"F0313";"PCA";"0620341901";"";"";"";"";"";"";"";"";"";""
"F0314";"PEAVEY";"";"";"";"";"";"";"";"";"";"";""
"F0315";"PERFECT";"69393";"Lyon";"Venissieux";"0437532600";"";"";"";"";"";"";""
"F0316";"PERFORM";"ART";"";"";"";"";"";"";"";"";"";""
"F0318";"PETIT";"QUINCAILLERIE";"42100";"SAINT";"ETIENNE";"0477813080";"";"";"";"";"";""
"F0319";"PHIO";"";"";"";"";"";"";"";"";"";"";""
"F00000000500";"PHLIPPO";"2500";"LIER";"003234919170";"";"";"";"";"";"";"";""
"F0320";"PHONE";"HOUSE";"";"";"";"";"";"";"";"";"";""
"F0321";"PITIOT";"";"";"";"";"";"";"";"";"";"";""
"F0322";"PIXMANIA";"";"";"";"";"";"";"";"";"";"";""
"F00000000493";"POINT";"P";"42000";"ST";"ETIENNE";"04";"77";"79";"13";"14";"";""
"F0323";"POLYCAR";"";"";"";"";"";"";"";"";"";"";""
"F0324";"PRESSING";"DU";"SOLEIL";"";"";"";"";"";"";"";"";""
"F0325";"PRO";"BACK";"LINE";"0610242382";"";"";"";"";"";"";"";""
"F0326";"PROGESTIC";"";"";"";"";"";"";"";"";"";"";""
"F0327";"PROLUX";"75016";"PARIS";"0146047722";"";"";"";"";"";"";"";""
"F0328";"PROMO";"TISSUS";"";"";"";"";"";"";"";"";"";""
"F0329";"PROSEGUR";"";"";"";"";"";"";"";"";"";"";""
"F0330";"RACCHINI";"";"";"";"";"";"";"";"";"";"";""
"F0331";"RADIO";"2";"0477373283";"";"";"";"";"";"";"";"";""
"F0332";"RADIOSPARES";"";"";"";"";"";"";"";"";"";"";""
"F0333";"RAJA";"";"";"";"";"";"";"";"";"";"";""
"F00000000519";"RAMI";"AUDIO";"77600";"BUSSY-SAINT-GEORGES";"0164662020";"";"";"";"";"";"";""
"F0334";"RAOUL";"PETITE";"";"";"";"";"";"";"";"";"";""
"F0335";"RAVON";"AUTOMOBILE";"";"";"";"";"";"";"";"";"";""
"F0336";"RCF";"FRANCE";"";"";"";"";"";"";"";"";"";""
"F0337";"REGIE";"LUMIERE";"";"";"";"";"";"";"";"";"";""
"F00000000464";"RENAULT";"ALLIANCE";"42000";"ST-ETIENNE";"04";"77";"32";"43";"52";"";"";""
"F0338";"RENAULT";"TRUCKS";"GARAGE";"DE";"VILLETTE";"42580";"L'ETRAT";"04";"77";"91";"36";"76"
"F0340";"RENT";"A";"CAR";"";"";"";"";"";"";"";"";""
"F450";"RENT";"UP";"";"";"";"";"";"";"";"";"";""
"F0341";"RENTAL";"";"";"";"";"";"";"";"";"";"";""
"F0342";"REX";"ROTARY";"";"";"";"";"";"";"";"";"";""
"F0212";"REXEL";"42000";"SAINT-ETIENNE";"04";"77";"92";"86";"10";"";"";"";""
"F0343";"RICHARD";"OLIVIER";"";"";"";"";"";"";"";"";"";""
"F0344";"RIGGING";"26260";"CLERIEUX";"0475715982";"";"";"";"";"";"";"";""
"F0345";"RIZZA-BELLIA";"";"";"";"";"";"";"";"";"";"";""
"F00000000538";"ROBE";"95926";"ROISSY";"CDG";"CEDEX";"0148638481";"";"";"";"";"";""
"F0346";"ROBELPHONE";"69360";"ST";"SYMPHORIEN";"D'OZON";"04";"78";"02";"41";"44";"";""
"F00000000463";"ROCK-AUDIO";"DISTRIBUTION";"93200";"ST";"DENIS";"01";"42";"43";"95";"91";"";""
"F0347";"ROCLE";"";"";"";"";"";"";"";"";"";"";""
"F00000000456";"RONDSON";"31241";"L'UNION";"CEDEX";"05";"34";"25";"61";"00";"";"";""
"F0348";"RONZY";"INFORMATIQUE";"";"";"";"";"";"";"";"";"";""
"F0349";"ROUGE";"PIVOINE";"";"";"";"";"";"";"";"";"";""
"F00000000471";"RVE";"77440";"LIZY";"SUR";"OURCQ";"0160615300";"";"";"";"";"";""
"F453";"RYTHMES";"&";"SONS";"9711";"ILLKIRCH-GRAFFENSTADEN";"0388650615";"";"";"";"";"";""
"F0351";"S2CEB";"Audio/Video";"91165";"Longjumeau";"Cedex";"0169791405";"";"";"";"";"";""
"F0352";"SACEM";"";"";"";"";"";"";"";"";"";"";""
"F0353";"SAGRA";"42100";"SAINT-ETIENNE";"04";"77";"81";"32";"81";"";"";"";""
"F0354";"SAIMLEASE";"42500";"LE";"CHAMBON";"FEUGEROLLES";"0477617761";"";"";"";"";"";""
"F0355";"SAINT-ETIENNE";"ELECTRO-DIESEL";"";"";"";"";"";"";"";"";"";""
"F00000000465";"SAINT-ETIENNE";"SERVICE";"V.I.";"42160";"ANDREZIEUX";"BOUTHEON";"04";"77";"32";"46";"22";""
"F0356";"SAVE";"DIFFUSION";"42000";"ST";"ETIENNE";"0477794679";"";"";"";"";"";""
"F0357";"SAVITELLE";"";"";"";"";"";"";"";"";"";"";""
"F00000000490";"SCENE";"EVENEMENTS";"69300";"CALUIRE";"ET";"CUIRE";"04";"78";"08";"23";"68";""
"F00000000487";"SCENETEC";"69200";"VENISSIEUC";"0472502244";"";"";"";"";"";"";"";""
"F0359";"SCENIKAL";"FRS";"";"";"";"";"";"";"";"";"";""
"F0360";"SCHMITT";"MARNAS";"";"";"";"";"";"";"";"";"";""
"F0361";"SCI";"AGM";"";"";"";"";"";"";"";"";"";""
"F0363";"SCI";"STAP";"";"";"";"";"";"";"";"";"";""
"F0362";"SCIERIE";"STEPHANOISE";"";"";"";"";"";"";"";"";"";""
"F0364";"SCV";"AUDIO";"95947";"ROISSY";"C.D.G";"Cedex";"0148632211";"";"";"";"";""
"F0365";"SEGECO";"";"";"";"";"";"";"";"";"";"";""
"F0366";"SENNHEISER";"94851";"IVRY";"SUR";"SEINE";"0149870361";"";"";"";"";"";""
"F0367";"SFIC";"";"";"";"";"";"";"";"";"";"";""
"F0368";"SICLI";"";"";"";"";"";"";"";"";"";"";""
"F0369";"SIDE";"UP";"";"";"";"";"";"";"";"";"";""
"F0370";"SIM";"RADIO";"ELECTRONIQUE";"42000";"SAINT-ETIENNE";"0477327462";"";"";"";"";"";""
"F00000000511";"SIPREL";"69380";"LOZANNE";"04";"78";"43";"70";"20";"";"";"";""
"F0371";"SIXT";"";"";"";"";"";"";"";"";"";"";""
"F0372";"SIXTIES";"MEMORIES";"";"";"";"";"";"";"";"";"";""
"F00000000449";"SKYNIGHTS";"";"";"";"";"";"";"";"";"";"";""
"F00000000542";"SL";"TRUCKS";"42100";"SAINT_ETIENNE";"0477254164";"";"";"";"";"";"";""
"F0373";"SNC";"HG";"";"";"";"";"";"";"";"";"";""
"F0374";"SNELLA";"AUTO";"";"";"";"";"";"";"";"";"";""
"F0375";"SODAM";"42700";"FIRMINY";"04";"77";"41";"50";"40";"";"";"";""
"F0376";"SODIGEST";"";"";"";"";"";"";"";"";"";"";""
"F00000000495";"SOGRANLOTRANS";"42290";"SORBIERS";"04";"77";"53";"33";"61";"";"";"";""
"F0377";"SOLYBO-FRANCE";"BOISSONS";"";"";"";"";"";"";"";"";"";""
"F0378";"SONO";"HOUSE";"94200";"0158461515";"";"";"";"";"";"";"";""
"F0379";"SONO";"MAGAZINE";"";"";"";"";"";"";"";"";"";""
"F0380";"SONOSS";"59160";"lomme";"0320009210";"";"";"";"";"";"";"";""
"F0381";"SOPRANZI";"GALVA";"";"";"";"";"";"";"";"";"";""
"F0382";"SOVEMAM";"";"";"";"";"";"";"";"";"";"";""
"F0383";"SPELEMAT";"";"";"";"";"";"";"";"";"";"";""
"F0389";"ST";"MARCELLIN";"IMMOBILIER";"";"";"";"";"";"";"";"";""
"F0384";"STACCO";"67319";"Wasselonne";"Cedex";"0388874422";"";"";"";"";"";"";""
"F0385";"STAFF";"FOURNISSEUR";"";"";"";"";"";"";"";"";"";""
"F0386";"STARWAY";"";"";"";"";"";"";"";"";"";"";""
"F0219";"STE";"K";"";"";"";"";"";"";"";"";"";""
"F0387";"STECOM";"38440";"ARTAS";"0474597660";"";"";"";"";"";"";"";""
"F0388";"STEPHANOISE";"DES";"EAUX";"";"";"";"";"";"";"";"";""
"F0390";"STS";"FOURNISEUR";"";"";"";"";"";"";"";"";"";""
"F0391";"STUDIO";"MAG-FOURNISSEUR";"";"";"";"";"";"";"";"";"";""
"F0392";"STUDIO";"PLUS";"";"";"";"";"";"";"";"";"";""
"F0393";"SUCHAIL";"";"";"";"";"";"";"";"";"";"";""
"F00000000472";"SUD";"SCENIC";"93350";"LE";"BOURGET";"01";"49";"92";"14";"94";"";""
"F0394";"SURDIFUSE";"SA";"75462";"PARIS";"CEDEX";"10";"0147709711";"";"";"";"";""
"F0395";"SWISS";"LIFE";"";"";"";"";"";"";"";"";"";""
"F0396";"SYNPASE";"";"";"";"";"";"";"";"";"";"";""
"F00000000474";"SYNPASE";"75010";"PARIS";"01";"42";"01";"80";"00";"";"";"";""
"F0397";"TBD";"";"";"";"";"";"";"";"";"";"";""
"F0398";"TC";"ELECTRONIQUE";"8240";"RISSKOV";"0800914828";"";"";"";"";"";"";""
"F0399";"TEAC";"FRANCE";"TASCAM";"92182";"Antony";"cedex";"0142370102";"";"";"";"";""
"F0400";"TEISSIER";"42964";"SAINT-ETIENNE";"CEDEX";"9";"04";"77";"79";"53";"53";"";""
"F0403";"TELE";"SERVICE";"";"";"";"";"";"";"";"";"";""
"F0401";"TELE-FLASH";"";"";"";"";"";"";"";"";"";"";""
"F0402";"telephone";"house";"";"";"";"";"";"";"";"";"";""
"F00000000512";"TESCA";"31240";"L'UNION";"0562890829";"";"";"";"";"";"";"";""
"F00000000470";"TEVILOJ";"38200";"VIENNE";"0474317342";"";"";"";"";"";"";"";""
"F00000000483";"TEXEN";"13290";"AIX";"EN";"PROVENCE";"04";"42";"24";"54";"00";"";""
"F00000000524";"TFN";"Propreté";"0623784161";"";"";"";"";"";"";"";"";""
"F0404";"THIVARD";"";"";"";"";"";"";"";"";"";"";""
"F0405";"THIVILLON";"";"";"";"";"";"";"";"";"";"";""
"F00000000478";"THOMANN";"";"";"";"";"";"";"";"";"";"";""
"F0406";"TILT";"AUTO";"";"";"";"";"";"";"";"";"";""
"F0407";"TLA";"HONDA";"";"";"";"";"";"";"";"";"";""
"F00000000546";"TMF";"LOCATION";"";"";"";"";"";"";"";"";"";""
"F0408";"TNT";"";"";"";"";"";"";"";"";"";"";""
"F00000000492";"TOA";"France";"93421";"VILLEPTIN";"CEDEX";"01";"41";"51";"15";"50";"";""
"F0409";"TRANSIT";"63800";"COURNON";"0473693898";"";"";"";"";"";"";"";""
"F0410";"TRANSPALUX";"0478693233";"";"";"";"";"";"";"";"";"";""
"F00000000563";"TRM";"";"";"";"";"";"";"";"";"";"";""
"F0411";"TS";"CABLE";"";"";"";"";"";"";"";"";"";""
"F0412";"TWIN";"";"";"";"";"";"";"";"";"";"";""
"F0413";"UNAL";"";"";"";"";"";"";"";"";"";"";""
"F0414";"UNAL";"42650";"Saint";"Jean";"Bonnefonds";"0477338682";"";"";"";"";"";""
"F00000000548";"UNIVERSON";"";"";"";"";"";"";"";"";"";"";""
"F0415";"UPS";"";"";"";"";"";"";"";"";"";"";""
"F00000000468";"UPS";"42350";"LA";"TALAUDIERE";"0821233877";"";"";"";"";"";"";""
"F0416";"VACHON";"PEINTURES";"42000";"SAINT";"ETIENNE";"0477744668";"";"";"";"";"";""
"F00000000574";"VALENTINI";"";"";"";"";"";"";"";"";"";"";""
"F0417";"VARIA";"FRANCE";"75018";"Paris";"0142095396";"";"";"";"";"";"";""
"F0418";"VEPENET";"";"";"";"";"";"";"";"";"";"";""
"F0419";"VERSEAUX";"";"";"";"";"";"";"";"";"";"";""
"F0421";"VIA";"LOCATION";"";"";"";"";"";"";"";"";"";""
"F0420";"VIALLA";"FOURNISSEUR";"";"";"";"";"";"";"";"";"";""
"F0422";"VIDEOSCOPE";"0477";"";"";"";"";"";"";"";"";"";""
"F0423";"VIKING";"";"";"";"";"";"";"";"";"";"";""
"F0424";"VILVERT";"";"";"";"";"";"";"";"";"";"";""
"F0425";"VISUEL";"27800";"BRIONNE";"0232450377";"";"";"";"";"";"";"";""
"F0426";"VOLKSWAGEN";"";"";"";"";"";"";"";"";"";"";""
"F0427";"VULCAIN";"PNEUS";"42100";"SAINT-ETIENNE";"04";"77";"37";"54";"28";"";"";""
"F0428";"VULCO";"42000";"SAINT-ETIENNE";"0477744266";"";"";"";"";"";"";"";""
"F0429";"WELDOM";"";"";"";"";"";"";"";"";"";"";""
"F0430";"WESTFALEN";"57780";"ROSSELANGE";"0387501040";"";"";"";"";"";"";"";""
"F00000000526";"WURTH";"";"";"";"";"";"";"";"";"";"";""
"F0432";"XL";"LOCATION";"";"";"";"";"";"";"";"";"";""
"F0433";"YAMAHA";"FRANCE";"77312";"MARNE";"LA";"VALLÉE";"CEDEX2";"0164614000";"";"";"";""
